Aveprice,Floor,Garden,Layout,Price,Region,Size,Year
31664元/㎡,14,首座御园(二期2号院),2 室 1 厅 1 卫,285 万,大兴黄村清泰路2号,90,2014
21530元/㎡,15,育新花园南里,2 室 2 厅 1 卫,183 万,大兴大兴周边育仁街1号,85,2013
34712元/㎡,12,世茂维拉,3 室 2 厅 1 卫,345 万,房山长阳艺林北街22号,99,2015
26997元/㎡,15,阳光水岸(密云),2 室 1 厅 1 卫,240 万,密云密云城区白云街,88,2015
61071元/㎡,5,富卓苑,3 室 1 厅 1 卫,518 万,丰台马家堡角门南路,84,2000
40714元/㎡,6,京科苑,3 室 1 厅 1 卫,349 万,昌平昌平县城昌盛路3号,85,1998
30013元/㎡,5,顶秀美泉小镇A区,2 室 2 厅 1 卫,266 万,怀柔雁栖京加线,88,2009
66667元/㎡,4,北分厂家属区,3 室 1 厅 1 卫,540 万,海淀温泉北清路,81,1993
67050元/㎡,16,万年花城玫瑰碗(万年花城三期),2 室 1 厅 1 卫,630 万,丰台玉泉营芳菲路88号,94,2006
27556元/㎡,6,长龙苑,3 室 1 厅 1 卫,255 万,房山长阳大宁二路,92,2006
35211元/㎡,16,首开国风美仑,3 室 2 厅 1 卫,312 万,通州马驹桥兴贸二街,88,2013
39577元/㎡,14,双桥温泉东里小区(南区),2 室 1 厅 1 卫,385 万,朝阳管庄双桥东路,97,2004
30761元/㎡,5,顶秀美泉小镇C区,2 室 2 厅 1 卫,275 万,怀柔雁栖京加线,89,2012
33285元/㎡,4,顶秀美泉小镇C区,2 室 2 厅 1 卫,298 万,怀柔雁栖京加线,89,2012
84347元/㎡,14,后现代城(A区),2 室 2 厅 1 卫,749 万,朝阳百子湾百子湾路12号,88,2005
23209元/㎡,4,恒盛波尔多小镇(南区),2 室 2 厅 1 卫,226 万,大兴大兴周边育新街32号,97,2014
30985元/㎡,14,加州水郡西区,2 室 1 厅 1 卫,277 万,房山长阳昊天北大街48号,89,2011
38130元/㎡,8,京投万科新里程(北区),2 室 1 厅 1 卫,340 万,房山良乡阜盛大街,89,2013
36693元/㎡,6,金台园小区,3 室 2 厅 1 卫,355 万,怀柔怀柔城区迎宾北路,96,2006
20702元/㎡,5,儒林苑小区(延庆),3 室 1 厅 1 卫,183 万,延庆延庆城区玉皇阁大街,88,2000
18053元/㎡,15,首创澜茵山,3 室 1 厅 1 卫,175 万,密云密云城区密关路,96,2015
22357元/㎡,12,万科幸福汇,3 室 1 厅 1 卫,215 万,房山窦店大窦路257号,96,2016
33950元/㎡,13,世茂维拉,3 室 1 厅 1 卫,338 万,房山长阳艺林北街22号,99,2015
39060元/㎡,6,滨河绮霞苑,3 室 2 厅 1 卫,372 万,门头沟大峪滨河路,95,2004
57240元/㎡,4,宏丰西路1号院,3 室 1 厅 1 卫,340 万,海淀西北旺宏丰西路1号,59,1979
51824元/㎡,12,双锦园小区,3 室 1 厅 1 卫,459 万,石景山鲁谷鲁谷南路,88,1996
30013元/㎡,5,顶秀美泉小镇A区,2 室 1 厅 1 卫,266 万,怀柔雁栖京加线,88,2008
111000元/㎡,16,国瑞城(东区),3 室 1 厅 1 卫,999 万,东城崇文门国瑞东路26号,90,2008
30899元/㎡,6,青春路甲46号院,3 室 1 厅 1 卫,258 万,怀柔怀柔城区青春路甲46号,83,1996
42773元/㎡,9,合景领峰,3 室 2 厅 1 卫,419.9 万,房山长阳篱笆园南路10号,98,2015
24334元/㎡,6,恒安小区,3 室 2 厅 1 卫,220 万,延庆延庆城区广兴街,90,1996
32291元/㎡,4,顶秀美泉小镇A区,2 室 2 厅 1 卫,285 万,怀柔雁栖京加线,88,2009
31889元/㎡,6,怀柔商业街小区,3 室 1 厅 1 卫,270 万,怀柔怀柔城区商业斜街,84,1998
29554元/㎡,5,雁栖新村,3 室 1 厅 1 卫,270 万,怀柔雁栖京加路,91,2005
33977元/㎡,6,南宫雅苑(东区),2 室 1 厅 1 卫,280 万,丰台云岗康泉路,82,2004
30979元/㎡,6,温泉花园(B区),2 室 2 厅 1 卫,285 万,昌平北七家东北路,92,2000
18053元/㎡,15,首创澜茵山,3 室 1 厅 1 卫,175 万,密云密云城区密关路,96,2006
25827元/㎡,6,长龙苑,3 室 2 厅 1 卫,239 万,房山长阳大宁二路,92,2008
56582元/㎡,6,芳古园一区,3 室 1 厅 1 卫,469 万,丰台方庄方庄蒲芳路9号,82,1989
30801元/㎡,10,世纪家园(密云),2 室 2 厅 1 卫,285 万,密云密云周边新中街,92,2009
41122元/㎡,6,前沙涧路7号院,2 室 1 厅 1 卫,355 万,海淀苏家坨前沙涧路7号,86,2008
23887元/㎡,12,中冶蓝城(东区),2 室 1 厅 1 卫,215 万,房山房山城关德润街12号,90,2015
22873元/㎡,6,新开街小区,3 室 2 厅 1 卫,215 万,平谷平谷城区新开街,94,2003
36438元/㎡,6,名佳花园(一区),3 室 1 厅 1 卫,360 万,昌平北七家北清路,98,2000
18764元/㎡,6,田家园小区,3 室 1 厅 1 卫,163 万,房山窦店大窦路,86,2003
17997元/㎡,5,振兴北社区(南菜园北二区),3 室 2 厅 1 卫,175 万,延庆延庆城区菜园中街,97,2000
38006元/㎡,15,晓月新城,2 室 1 厅 1 卫,359 万,丰台卢沟桥晓月中路,94,2008
18231元/㎡,6,农林路小区,3 室 1 厅 1 卫,158 万,房山房山城关林横路,86,1997
29554元/㎡,5,雁栖新村,3 室 1 厅 1 卫,270 万,怀柔雁栖京加路,91,2003
39406元/㎡,5,建明里,2 室 2 厅 1 卫,318 万,昌平昌平县城政府街,80,1995
21911元/㎡,4,恒盛波尔多小镇(南区),2 室 2 厅 1 卫,195 万,大兴大兴周边育新街32号,89,2009
19957元/㎡,5,水墨林溪,2 室 1 厅 1 卫,165 万,房山窦店大窦路,82,2006
70471元/㎡,4,沿海赛洛城(南区),2 室 2 厅 1 卫,599 万,朝阳百子湾广渠东路33号,85,2009
27274元/㎡,7,东关一区(东区),3 室 1 厅 1 卫,245 万,怀柔怀柔城区南大街,89,1998
18728元/㎡,6,南菜园二区(南菜园南二区),3 室 1 厅 1 卫,169 万,延庆延庆城区菜园南街,90,2000
18139元/㎡,6,兴房大街14号院,3 室 1 厅 1 卫,175 万,房山房山城关兴房大街14号,96,1999
23470元/㎡,6,沿湖小区,3 室 2 厅 1 卫,230 万,密云密云城区新中街,98,2006
40051元/㎡,7,惠民家园(二区),3 室 1 厅 1 卫,348 万,门头沟门头沟周边增产路,86,2010
33140元/㎡,6,温泉花园(B区),2 室 1 厅 1 卫,285 万,昌平北七家东北路,86,2000
33334元/㎡,4,顶秀美泉小镇A区,2 室 2 厅 1 卫,300 万,怀柔雁栖京加线,90,2010
36962元/㎡,5,顶秀美泉小镇C区,2 室 2 厅 1 卫,326 万,怀柔雁栖京加线,88,2012
40032元/㎡,18,金域缇香,2 室 1 厅 1 卫,355 万,房山长阳长韩路10号,88,2014
37651元/㎡,6,滨河德露苑,2 室 1 厅 1 卫,350 万,门头沟大峪德露苑路,93,2006
44887元/㎡,9,北街家园一区,3 室 1 厅 1 卫,395 万,昌平沙河高教园北一街,88,2005
22873元/㎡,6,新开街小区,3 室 2 厅 1 卫,215 万,平谷平谷城区新开街,94,2002
33147元/㎡,9,格林云墅,3 室 1 厅 1 卫,295 万,大兴磁各庄安顺北路1号,89,2015
39430元/㎡,18,金隅畅和园6号院,2 室 1 厅 1 卫,340 万,房山良乡阜盛西街,86,2019
19063元/㎡,6,康居(南区),3 室 2 厅 1 卫,183 万,密云密云城区鼓楼西大街,96,2006
31579元/㎡,6,首地浣溪谷,3 室 2 厅 1 卫,300 万,大兴磁各庄安顺北路6号,95,2014
23352元/㎡,6,胜芳园,3 室 2 厅 1 卫,205 万,延庆延庆城区东顺城街,87,2000
34569元/㎡,4,顶秀美泉小镇C区,2 室 2 厅 1 卫,305 万,怀柔雁栖京加线,88,2012
46492元/㎡,6,依翠园,3 室 1 厅 1 卫,440 万,石景山鲁谷鲁谷大街,94,1995
66816元/㎡,6,草桥欣园三区,3 室 1 厅 1 卫,630 万,丰台草桥草桥东路,94,1999
22213元/㎡,6,胜芳园,3 室 1 厅 1 卫,195 万,延庆延庆城区东顺城街,87,2001
28869元/㎡,6,富乐二区,3 室 1 厅 1 卫,258 万,怀柔怀柔城区滨湖北街,89,1996
39138元/㎡,6,民园小区,3 室 1 厅 1 卫,325 万,昌平沙河路小路,83,2000
41280元/㎡,17,金域缇香,2 室 2 厅 1 卫,355 万,房山长阳长韩路10号,86,2014
24410元/㎡,12,格兰山水(二期南区),3 室 1 厅 1 卫,220 万,延庆延庆城区孟家庄路61号,90,2012
41323元/㎡,6,麓景嘉园北里,2 室 1 厅 1 卫,350 万,海淀苏家坨苏家坨北路,84,2015
12904元/㎡,6,龙庆望都佳园,3 室 2 厅 1 卫,120 万,延庆康庄西官路,93,2012
31976元/㎡,6,开利园小区,3 室 1 厅 1 卫,259 万,怀柔怀柔城区开放路,81,1996
43436元/㎡,17,国惠村,2 室 1 厅 1 卫,350 万,昌平南邵镇景昌南街2号,80,2014
22111元/㎡,6,振兴北社区(南菜园北二区),3 室 2 厅 1 卫,215 万,延庆延庆城区菜园中街,97,2004
26924元/㎡,4,赏云轩嘉园,3 室 2 厅 2 卫,350 万,密云密云城区滨河路50号,130,2006
23230元/㎡,6,东菜园小区,3 室 2 厅 1 卫,207 万,密云密云城区鼓楼东大街,89,2005
26521元/㎡,14,加州水郡西区,2 室 1 厅 1 卫,245 万,房山长阳昊天北大街48号,92,2009
32208元/㎡,10,原香小镇(一区),2 室 1 厅 1 卫,285 万,房山长阳广阳中路1号,88,2009
50403元/㎡,15,远洋一方润园(西区),3 室 1 厅 1 卫,445 万,朝阳管庄塔营北街6号,88,2010
38474元/㎡,15,吉祥雅筑,3 室 1 厅 1 卫,365 万,顺义后沙峪安泰大街9号,94,2010
39690元/㎡,6,幸福时光(通州),2 室 2 厅 1 卫,358 万,通州梨园通州区云景东路71号,90,2004
27907元/㎡,6,金善名居,3 室 2 厅 1 卫,264 万,怀柔庙城富密路,94,2008
12478元/㎡,6,龙庆望都佳园,3 室 1 厅 1 卫,120 万,延庆康庄西官路,96,2012
31896元/㎡,14,加州水郡西区,2 室 1 厅 1 卫,278 万,房山长阳昊天北大街48号,87,2011
28603元/㎡,6,沿湖小区,3 室 2 厅 1 卫,240 万,密云密云城区新中街,83,2004
32215元/㎡,17,瑞雪春堂,2 室 1 厅 2 卫,286 万,房山良乡良官公路,88,2010
21226元/㎡,5,恒盛波尔多小镇(南区),2 室 2 厅 1 卫,205 万,大兴大兴周边育新街32号,96,2009
12292元/㎡,6,龙庆望都佳园,3 室 1 厅 1 卫,118 万,延庆康庄西官路,96,2012
22681元/㎡,15,北京城建琨廷(北区),2 室 2 厅 1 卫,220 万,房山窦店于瓦北路17号,97,2002
32706元/㎡,6,苏庄一里,3 室 2 厅 1 卫,295 万,房山良乡苏庄大街,90,2000
39442元/㎡,6,滨河绮霞苑,3 室 1 厅 1 卫,373 万,门头沟大峪滨河路,94,2002
36949元/㎡,1,金域缇香,2 室 1 厅 1 卫,325 万,房山长阳长韩路10号,88,2003
30228元/㎡,5,顶秀美泉小镇A区,2 室 2 厅 1 卫,266 万,怀柔雁栖京加线,88,2012
27716元/㎡,8,首开缇香郡,3 室 2 厅 1 卫,246 万,通州台湖镇通房路,88,2016
41755元/㎡,24,保利春天里,2 室 1 厅 1 卫,355 万,大兴生物医药基地思邈路1号,85,2014
16951元/㎡,7,北关小区,3 室 2 厅 1 卫,168 万,延庆延庆周边玉皇阁大街,99,2000
13970元/㎡,6,龙庆望都佳园,3 室 1 厅 1 卫,130 万,延庆康庄西官路,93,2012
51378元/㎡,6,龙兴园中区,3 室 2 厅 1 卫,498 万,昌平回龙观西二旗北路168号,96,1998
70499元/㎡,5,碧桐园,2 室 1 厅 1 卫,650 万,海淀四季青田村路,92,2009
25018元/㎡,16,迎宾花园,2 室 2 厅 1 卫,245 万,平谷平谷城区迎宾路,97,2008
38902元/㎡,16,万通怀柔新新家园,2 室 2 厅 1 卫,350 万,怀柔怀柔城区迎宾路,90,2016
19762元/㎡,6,南菜园二区(南菜园南二区),3 室 2 厅 1 卫,166 万,延庆延庆城区菜园南街,84,2000
47418元/㎡,6,六合园,3 室 1 厅 1 卫,448 万,石景山鲁谷鲁谷南路,94,1994
61243元/㎡,11,新康园(北区),3 室 1 厅 2 卫,612 万,昌平霍营黄平路,99,1997
22041元/㎡,6,东关家园,3 室 2 厅 1 卫,208 万,房山良乡房山区良乡东路,94,2002
25613元/㎡,5,金善名居,2 室 2 厅 1 卫,208 万,怀柔庙城富密路,81,2008
29615元/㎡,6,惠泽家园,2 室 1 厅 1 卫,249 万,门头沟门头沟周边门头沟路,84,2010
32259元/㎡,6,首地浣溪谷,3 室 1 厅 1 卫,300 万,大兴磁各庄安顺北路6号,93,2012
24457元/㎡,15,北京城建上河湾(北区),2 室 2 厅 1 卫,225 万,密云密云城区京沈路,92,2006
24383元/㎡,16,中冶蓝城(东区),3 室 1 厅 1 卫,217 万,房山房山城关德润街12号,89,2015
23596元/㎡,11,华远澜悦,3 室 1 厅 1 卫,210 万,密云密云城区铁西路6号,89,2006
24936元/㎡,14,首城汇景湾(西区),2 室 2 厅 1 卫,221 万,平谷马坊金河街108号,88,2015
20883元/㎡,6,园丁小区,3 室 1 厅 1 卫,195 万,平谷平谷城区平谷南街,93,1998
66077元/㎡,9,金域东郡,3 室 2 厅 2 卫,605 万,大兴亦庄四合路3号,91,2016
27890元/㎡,11,首开缇香郡,3 室 2 厅 1 卫,249 万,通州台湖镇通房路,89,2016
63946元/㎡,15,草桥欣园(四区),3 室 1 厅 1 卫,600 万,丰台草桥草桥西路12号,93,2003
11108元/㎡,6,康庄住宅小区,3 室 1 厅 1 卫,100 万,延庆康庄西康路,90,1995
23175元/㎡,16,北京城建上河湾(北区),3 室 1 厅 1 卫,193 万,密云密云城区京沈路,83,2006
21512元/㎡,15,万科幸福汇,2 室 2 厅 1 卫,185 万,房山窦店大窦路257号,86,2014
31976元/㎡,6,开利园小区,3 室 1 厅 1 卫,259 万,怀柔怀柔城区开放路,81,1997
45978元/㎡,16,南海家园六里,3 室 2 厅 1 卫,456 万,大兴亦庄泰河一街,99,2012
41930元/㎡,12,DBC加州小镇(C区),2 室 1 厅 1 卫,412 万,通州土桥颐瑞中二路,98,2008
29484元/㎡,13,格兰山水(二期南区),3 室 1 厅 1 卫,265 万,延庆延庆城区孟家庄路61号,89,2013
23797元/㎡,6,密云车站路小区,3 室 2 厅 1 卫,217 万,密云密云城区新北路,91,2003
34720元/㎡,16,首开国风美仑,3 室 2 厅 1 卫,309 万,通州马驹桥兴贸二街,89,2013
83125元/㎡,16,青年汇佳园,2 室 1 厅 1 卫,665 万,朝阳朝青板块青年路,80,2008
22122元/㎡,6,明源北里,3 室 2 厅 2 卫,205 万,房山良乡房山区良乡昊天大街,92,1989
73901元/㎡,13,清景园,2 室 2 厅 1 卫,726 万,海淀清河永泰庄西路,98,2005
20296元/㎡,6,季庄小区,3 室 1 厅 1 卫,198 万,密云密云城区公园街,97,2001
63317元/㎡,5,万象新天家园,2 室 2 厅 1 卫,528 万,朝阳常营常营北路10号,83,2006
23784元/㎡,4,云秀花园公寓区,2 室 2 厅 2 卫,220 万,密云密云城区白云街,92,2012
40060元/㎡,16,国惠村,2 室 2 厅 1 卫,325 万,昌平南邵镇景昌南街2号,81,2011
30550元/㎡,16,加州水郡西区,2 室 1 厅 1 卫,278 万,房山长阳昊天北大街48号,91,2016
28953元/㎡,16,梦想家园(西区),2 室 2 厅 1 卫,258 万,怀柔怀柔城区安平路29号,89,2013
33620元/㎡,16,首开国风美仑,3 室 2 厅 1 卫,305 万,通州马驹桥兴贸二街,90,2013
22327元/㎡,6,云湖家属院,3 室 2 厅 2 卫,218 万,密云密云城区行宫街,97,2004
33816元/㎡,15,瀛海家园瑞园,2 室 2 厅 1 卫,290 万,大兴瀛海镇瀛坤路4号,85,2013
30689元/㎡,7,北潞馨家园,2 室 2 厅 1 卫,280 万,房山良乡房山区良乡良坨大街,91,2013
27440元/㎡,10,新兴家园(西区),2 室 1 厅 1 卫,248 万,大兴磁各庄海鑫北路17号,90,2012
27985元/㎡,6,玉竹园,2 室 1 厅 1 卫,248 万,房山良乡房山区良乡揽秀北大街,88,2003
33548元/㎡,5,顶秀美泉小镇B区,2 室 2 厅 1 卫,298 万,怀柔雁栖京加线,88,2009
22396元/㎡,15,首创澜茵山,3 室 2 厅 1 卫,215 万,密云密云城区密关路,96,2011
29929元/㎡,13,格兰山水(二期南区),3 室 2 厅 1 卫,269 万,延庆延庆城区孟家庄路61号,89,2010
50202元/㎡,17,远洋新悦(1号院),2 室 2 厅 1 卫,499 万,朝阳管庄小寺村南街1号,99,2012
22097元/㎡,6,湖南小区(北区),3 室 2 厅 1 卫,215 万,延庆延庆城区湖南东路,97,2003
55617元/㎡,6,龙乡小区(东区),3 室 1 厅 1 卫,460 万,昌平回龙观建材城西路,82,1998
20437元/㎡,6,海怡庄园(西区),2 室 2 厅 1 卫,175 万,密云密云周边京密路,85,2000
29622元/㎡,4,绿城百合公寓(南区),2 室 2 厅 1 卫,245 万,房山阎村阎安西路,82,2008
33744元/㎡,6,永安里小区(昌平),2 室 1 厅 1 卫,296 万,昌平昌平县城永安路,87,2000
41155元/㎡,4,柏阳景园A区,2 室 1 厅 1 卫,345 万,朝阳豆各庄白鹿司路1号,83,2004
38642元/㎡,6,泉河园二区,3 室 2 厅 1 卫,380 万,怀柔怀柔城区开放路,98,2003
49314元/㎡,11,空港吉祥花园,3 室 1 厅 1 卫,460 万,"顺义后沙峪安泰大街,近裕华路",93,2008
20724元/㎡,6,石桥西区,2 室 2 厅 2 卫,185 万,密云密云周边檀西路,89,2006
25716元/㎡,16,迎宾花园,2 室 2 厅 1 卫,240 万,平谷平谷城区迎宾路,93,2005
30219元/㎡,6,温泉花园(B区),2 室 1 厅 1 卫,280 万,昌平北七家东北路,92,2000
24323元/㎡,18,首城汇景湾(北区),3 室 2 厅 1 卫,210 万,平谷马坊梨羊路5号,86,2015
26729元/㎡,15,北京城建上河湾(南区),2 室 1 厅 1 卫,232 万,密云密云城区李各庄路6号,86,2006
47341元/㎡,6,瑞祥里西区,2 室 1 厅 1 卫,380 万,"朝阳管庄瑞祥路,近朝阳路",80,2003
24771元/㎡,5,大灰厂小区,3 室 1 厅 1 卫,135 万,丰台长辛店大灰厂路88号,54,1989
31004元/㎡,6,世嘉光织谷(西区),2 室 2 厅 1 卫,295 万,怀柔雁栖乐园西大街15号,95,2012
52491元/㎡,16,苹果园二区,3 室 1 厅 1 卫,450 万,石景山苹果园苹果园大街,85,1996
43889元/㎡,6,北街家园一区,3 室 2 厅 1 卫,395 万,昌平沙河高教园北一街,90,2010
73396元/㎡,9,首开常青藤(D区),3 室 1 厅 1 卫,685 万,朝阳东坝东坝中街12号,93,2012
27852元/㎡,14,加州水郡西区,2 室 1 厅 1 卫,240 万,房山长阳昊天北大街48号,86,2011
25187元/㎡,8,首开缇香郡,3 室 2 厅 1 卫,223 万,通州台湖镇通房路,88,2016
63415元/㎡,16,福海棠华苑,2 室 1 厅 1 卫,520 万,丰台大红门马家堡东路189号,82,2010
12957元/㎡,6,龙庆望都佳园,3 室 2 厅 1 卫,125 万,延庆康庄西官路,96,2012
39243元/㎡,30,润景公馆,2 室 2 厅 1 卫,346 万,门头沟永定冯石环路6号,88,2012
32729元/㎡,13,格兰山水(一期),3 室 2 厅 2 卫,305 万,"延庆延庆城区医孟路,近高塔路",93,2007
42930元/㎡,18,合景领峰,3 室 2 厅 2 卫,425 万,房山长阳篱笆园南路10号,99,2014
29432元/㎡,16,加州水郡西区,2 室 1 厅 1 卫,268 万,房山长阳昊天北大街48号,91,2010
40762元/㎡,15,馨然嘉园三区(长阳国际城三区),3 室 1 厅 1 卫,362 万,房山长阳长政南街,88,2012
35230元/㎡,6,南宫景苑(一区),3 室 2 厅 1 卫,335 万,丰台云岗南宫迎宾路33号,95,2014
34130元/㎡,6,金台园小区,3 室 1 厅 1 卫,310 万,怀柔怀柔城区迎宾北路,90,1999
51226元/㎡,6,翠海明苑,3 室 1 厅 2 卫,420 万,丰台新宫槐房西路,82,2007
30814元/㎡,15,罗府家园,2 室 1 厅 1 卫,265 万,房山良乡房山区良乡拱辰南大街85号,86,2003
20022元/㎡,6,檀营小区,2 室 2 厅 2 卫,190 万,密云密云周边新北路,94,2006
33977元/㎡,6,南宫雅苑(东区),2 室 1 厅 1 卫,280 万,丰台云岗康泉路,82,2006
33146元/㎡,12,世茂维拉,3 室 1 厅 1 卫,330 万,房山长阳艺林北街22号,99,2015
35980元/㎡,6,汇都家园,3 室 2 厅 1 卫,320 万,怀柔怀柔城区迎宾中路206号,88,2006
28682元/㎡,6,金善名居,2 室 2 厅 1 卫,230 万,怀柔庙城富密路,80,2008
34266元/㎡,5,顶秀美泉小镇C区,2 室 2 厅 1 卫,305 万,怀柔雁栖京加线,89,2012
31735元/㎡,6,温泉花园(B区),2 室 1 厅 1 卫,258 万,昌平北七家东北路,81,2005
62198元/㎡,16,首邑溪谷,3 室 2 厅 2 卫,360 万,大兴高米店兴泰街5号,57,2012
36025元/㎡,15,瀛海家园和园,2 室 2 厅 1 卫,299 万,大兴瀛海镇瀛坤路2号,83,2014
47917元/㎡,13,垡头翠成馨园(C区101-110号),3 室 1 厅 1 卫,460 万,朝阳垡头垡头路,96,2007
25546元/㎡,12,加州水郡西区,3 室 2 厅 2 卫,349 万,房山长阳昊天北大街48号,136,2010
56160元/㎡,6,贵园东里,2 室 2 厅 1 卫,470 万,"大兴亦庄北环西路,近西环北路",83,1997
41256元/㎡,6,金榜园,2 室 2 厅 1 卫,380 万,昌平回龙观京藏高速,92,2002
43061元/㎡,5,玉璟园,2 室 2 厅 1 卫,385 万,大兴瀛海镇黄亦路,89,2005
32706元/㎡,6,温泉花园(A区),2 室 1 厅 1 卫,295 万,昌平北七家立汤路,90,2000
37064元/㎡,16,首创紫悦台,3 室 1 厅 1 卫,310 万,房山良乡知兴西路2号,83,2014
31937元/㎡,14,加州水郡西区,3 室 2 厅 1 卫,285 万,房山长阳昊天北大街48号,89,2007
58665元/㎡,6,西马金润家园,3 室 1 厅 1 卫,520 万,丰台角门马家堡路,88,1998
41383元/㎡,5,玉璟园,2 室 2 厅 1 卫,370 万,大兴瀛海镇黄亦路,89,2005
19001元/㎡,5,迎风四里,3 室 1 厅 1 卫,108 万,房山燕山迎风五巷,56,1983
33147元/㎡,9,格林云墅,3 室 1 厅 1 卫,295 万,大兴磁各庄安顺北路1号,89,2014
42114元/㎡,17,国惠村,2 室 1 厅 1 卫,342 万,昌平南邵镇景昌南街2号,81,2000
19770元/㎡,6,康安小区,3 室 2 厅 1 卫,175 万,延庆延庆城区延康路,88,1980
16951元/㎡,6,北关小区,3 室 2 厅 1 卫,168 万,延庆延庆周边玉皇阁大街,99,1999
63317元/㎡,5,万象新天家园,2 室 1 厅 1 卫,528 万,朝阳常营常营北路10号,83,2006
30049元/㎡,6,鸿顺园(西区),2 室 1 厅 1 卫,279 万,房山良乡长虹东路,92,2003
70471元/㎡,4,沿海赛洛城(南区),2 室 2 厅 1 卫,599 万,朝阳百子湾广渠东路33号,85,2008
32512元/㎡,15,梦想家园(西区),2 室 1 厅 1 卫,290 万,怀柔怀柔城区安平路29号,89,2015
48014元/㎡,11,路劲世界城,3 室 1 厅 1 卫,470 万,昌平南邵镇昌金路,97,2010
33516元/㎡,9,格林云墅,3 室 1 厅 1 卫,300 万,大兴磁各庄安顺北路1号,89,2016
15796元/㎡,6,京南嘉园,2 室 1 厅 1 卫,153 万,房山窦店大窦路,96,2003
21170元/㎡,6,颍泽洲,2 室 2 厅 1 卫,210 万,延庆延庆城区菜园南街,99,2002
39577元/㎡,9,小康家园,2 室 2 厅 1 卫,355 万,大兴亦庄小羊坊南街,89,2000
28385元/㎡,6,行宫园三里,3 室 1 厅 1 卫,230 万,房山良乡房山区良乡政通路,81,1995
19969元/㎡,6,康居(南区),3 室 2 厅 1 卫,191 万,密云密云城区鼓楼西大街,95,2008
46975元/㎡,6,郁花园一里,3 室 2 厅 1 卫,430 万,大兴郁花园兴丰大街,91,1998
64095元/㎡,6,龙泽苑西区,2 室 1 厅 1 卫,515 万,昌平龙泽同成街,80,2000
28858元/㎡,29,天润香墅湾1号,2 室 2 厅 1 卫,245 万,平谷平谷城区平谷体育中心西路6号,84,2017
10188元/㎡,6,康庄住宅小区,3 室 1 厅 1 卫,92 万,延庆康庄西康路,90,2000
29773元/㎡,16,梦想家园(西区),2 室 2 厅 1 卫,262 万,怀柔怀柔城区安平路29号,88,2013
25609元/㎡,16,迎宾花园,2 室 2 厅 1 卫,239 万,平谷平谷城区迎宾路,93,2015
22253元/㎡,6,胜芳园,3 室 1 厅 1 卫,195 万,延庆延庆城区东顺城街,87,1993
19438元/㎡,6,南菜园二区(南菜园南二区),3 室 1 厅 1 卫,163 万,延庆延庆城区菜园南街,83,1998
28193元/㎡,9,新兴家园(东区),2 室 1 厅 1 卫,255 万,大兴磁各庄海鑫北路15号,90,2000
25141元/㎡,5,万科幸福汇,3 室 2 厅 2 卫,295 万,房山窦店大窦路257号,117,2015
37046元/㎡,15,瀛海家园和园,2 室 1 厅 1 卫,309 万,大兴瀛海镇瀛坤路2号,83,2014
21448元/㎡,6,恒安小区,3 室 2 厅 1 卫,198 万,延庆延庆城区广兴街,92,1995
